"query","dish_name","recipe_id","label","reason","source"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Khô cá hồi làm bằng lò nướng","360","3","Món nướng, có cá làm nguyên liệu chính nhưng khẩu phần lớn hơn 4 người.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Nướng cá bằng lò vi sóng","752","2","Món nướng có cá nhưng phục vụ cho 2-3 người, không đủ 4 người.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Khô cá nục","10114","0","Món khô - mắm, không phải món nướng, không phù hợp yêu cầu.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá chỉ vàng nướng","111","1","Món nướng có cá nhưng khẩu phần 2-3 người, ít phù hợp số người.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","cá hấp chiên","3398","0","Món chiên, không phải món nướng.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Mực khô nướng","424","1","Món nướng nhưng nguyên liệu chính là mực khô, không phải cá.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Khô cá bò nướng","10025","0","Món khô - mắm, không phải món nướng.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá thu muối dùi","10009","0","Món khô - mắm, không phải món nướng.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá nướng bơ","263","1","Món nướng cá nhưng khẩu phần cho 2-3 người, không đủ 4 người.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá trích nướng","239","4","Món nướng cá, phục vụ 4-6 người phù hợp số lượng yêu cầu.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Thịt xông khói bằng lò vi sóng","768","0","Món nướng nhưng làm từ thịt heo, không phải cá.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá thòi lòi nướng muối ớt","583","4","Món nướng cá, phục vụ 4-6 người rất phù hợp.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cách làm sạch cá kèo","5786","0","Món lẩu, không phải món nướng.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Khoai lang nướng","742","0","Món nướng nhưng nguyên liệu chính là khoai lang, không phải cá.","pinecone"
"Tôi muốn làm 1 món cá nướng cho 4 người ăn","Cá trích phile","5855","0","Món gỏi - salad, không phải món nướng.","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Mứt mít dẻo (công thức được chia sẻ từ người dùng)","7458","0","Không chứa thịt gà, nguyên liệu chính là mít","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Sốt trứng ăn bánh mì, cơm gà","6518","1","Không có thịt gà, chỉ có trứng; dễ nấu nhưng không phù hợp nguyên liệu","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Trứng siêu dài","5453","0","Nguyên liệu chính là trứng gà, không có thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Tạo dáng gà cúng","6333","2","Có thịt gà nhưng độ khó là trung bình, không dễ như yêu cầu","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo thịt bò rau mồng tơi","1035","0","Nguyên liệu chính là thịt bò, không phải thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Gà ác hầm đậu đen","6356","2","Có thịt gà ác, độ khó dễ; nhưng thời gian nấu khá lâu","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Vịt chiên giòn","4531","0","Nguyên liệu chính là vịt, không phải thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo chiên giòn","3568","0","Không có thịt gà, nguyên liệu chính là cháo và trứng","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo yến mạch trứng gà","1006","0","Không chứa thịt gà, nguyên liệu chính là yến mạch và trứng","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo gà rau mồng tơi ăn dặm","976","4","Có thịt đùi gà, độ khó dễ, phù hợp yêu cầu","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo trứng gà cải bó xôi","839","0","Nguyên liệu chính là trứng gà, không có thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Đậu gà luộc","4799","0","Nguyên liệu chính là đậu gà chứ không phải thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Nấu xôi gà bằng nồi cơm điện","6478","4","Có đùi gà, dễ nấu, phù hợp yêu cầu","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Bóng bì lợn","739","0","Nguyên liệu chính không phải thịt gà","pinecone"
"Hãy gợi ý cho tôi 1 món ăn làm từ thịt gà, dễ nấu","Cháo gà ác","1026","3","Có gà ác dễ nấu nhưng thời gian nấu khá dài","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt chiên giòn","4531","4","Có nguyên liệu vịt 1 con phù hợp yêu cầu","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Ức vịt","725","4","Có nguyên liệu ức vịt phù hợp yêu cầu","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt ướp tiêu nướng bằng lò vi sóng","429","4","Có đùi vịt phù hợp yêu cầu món vịt nướng","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Cách chiên lạp vịt","3560","3","Có lạp vịt nhưng không phải vịt nguyên con","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Trứng vịt lộn hấp bia","4954","2","Có trứng vịt lộn nhưng không phải món vịt nguyên con","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Trứng vịt lộn chiên giòn","4478","2","Có trứng vịt lộn nhưng không phải vịt nguyên con","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt nướng lá sen","511","4","Có vịt xiêm tơ nguyên con phù hợp yêu cầu","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Nấu gà nguyên con bằng nồi nấu chậm","6514","0","Nguyên liệu là gà, không chứa vịt","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt nướng xá xíu","365","3","Có má đùi vịt không phải nguyên con","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Gà ác hầm đậu đen","6356","0","Nguyên liệu là gà ác, không chứa vịt","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt luộc","848","4","Có vịt ta nguyên con phù hợp yêu cầu","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Vịt nướng Vân Đình","413","4","Có vịt nguyên con phù hợp yêu cầu","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Trứng vịt, trứng gà luộc chay","2832","0","Món chay không chứa vịt","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Thịt gà nấu đông với chân giò","6330","0","Nguyên liệu là gà, không chứa vịt","pinecone"
"Tôi có 1 con vịt hãy chỉ tôi nấu món nào đó","Trứng vịt chiên","3395","1","Chỉ có trứng vịt không phải vịt nguyên con","pinecone"
